Index,Time,DataIn,Alert,Score,PValue,SpikeMG,ChangePointMG
120,01/14/2024 06:00:00,5731,False,5731,0.22736032789304228,0,0
121,01/14/2024 06:03:00,6514,False,6514,0.23748119604632112,0,0
122,01/14/2024 06:06:00,5464,False,5464,0.11060122884931745,0,0
123,01/14/2024 06:09:00,6490,False,6490,0.2528303861300234,0,0
124,01/14/2024 06:12:00,6115,False,6115,0.4848255409061991,0,0
125,01/14/2024 06:15:00,5791,False,5791,0.2645029557526396,0,0
126,01/14/2024 06:18:00,6034,False,6034,0.4282392250202065,0,0
127,01/14/2024 06:21:00,5675,False,5675,0.20169864127481196,0,0
128,01/14/2024 06:24:00,7084,False,7084,0.03449318050490857,0,0
129,01/14/2024 06:27:00,6454,False,6454,0.2779251336953986,0,0
130,01/14/2024 06:30:00,5692,False,5692,0.21210518021526237,0,0
131,01/14/2024 06:33:00,6645,False,6645,0.17304348173839457,0,0
132,01/14/2024 06:36:00,5489,False,5489,0.1240739561270876,0,0
133,01/14/2024 06:39:00,6490,False,6490,0.2579574563372927,0,0
134,01/14/2024 06:42:00,5847,False,5847,0.30437444222829524,0,0
135,01/14/2024 06:45:00,5806,False,5806,0.28059981695082326,0,0
136,01/14/2024 06:48:00,6856,False,6856,0.09195300137815554,0,0
137,01/14/2024 06:51:00,5920,False,5920,0.3525755589801014,0,0
138,01/14/2024 06:54:00,6417,False,6417,0.3040963169871277,0,0
139,01/14/2024 06:57:00,5922,False,5922,0.35286450197378594,0,0
140,01/14/2024 07:00:00,5657,False,5657,0.19829899610580526,0,0
141,01/14/2024 07:03:00,7196,False,7196,0.025825287504107897,0,0
142,01/14/2024 07:06:00,6587,False,6587,0.21188103130404634,0,0
143,01/14/2024 07:09:00,5374,False,5374,0.09096667316567997,0,0
144,01/14/2024 07:12:00,6490,False,6490,0.2662114380258128,0,0
145,01/14/2024 07:15:00,6531,False,6531,0.2446025283091801,0,0
146,01/14/2024 07:18:00,5730,False,5730,0.2401273925011681,0,0
147,01/14/2024 07:21:00,6647,False,6647,0.18543207781418386,0,0
148,01/14/2024 07:24:00,5505,False,5505,0.13731731710257766,0,0
149,01/14/2024 07:27:00,5961,False,5961,0.3831459131416102,0,0
150,01/14/2024 07:30:00,7155,False,7155,0.036835160675393885,0,0
151,01/14/2024 07:33:00,5562,False,5562,0.16392453347251312,0,0
152,01/14/2024 07:36:00,6189,False,6189,0.4625659498858675,0,0
