Time,In,Out,UtilIn,UtilOut,Error,Discards,SpikeMG,ChangePointMG
14/Jan/2024 05:06:00,6094,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 05:09:00,5978,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 05:12:00,5885,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 05:15:00,6511,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 05:18:00,5907,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 05:21:00,5748,3633,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 05:24:00,6869,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 05:27:00,5563,3577,0.00%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 05:30:00,6305,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 05:33:00,6550,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 05:36:00,5543,3577,0.00%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 05:39:00,6548,3633,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 05:42:00,6568,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 05:45:00,6075,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 05:48:00,6376,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 05:51:00,4995,3577,0.00%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 05:54:00,6814,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 05:57:00,6475,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 06:00:00,5731,3633,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 06:03:00,6514,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 06:06:00,5464,3577,0.00%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 06:09:00,6490,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 06:12:00,6115,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 06:15:00,5791,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 06:18:00,6034,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 06:21:00,5675,3633,0.00%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 06:24:00,7084,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 06:27:00,6454,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 06:30:00,5692,3577,0.00%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 06:33:00,6645,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 06:36:00,5489,3577,0.00%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 06:39:00,6490,3633,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 06:42:00,5847,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 06:45:00,5806,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 06:48:00,6856,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 06:51:00,5920,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 06:54:00,6417,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 06:57:00,5922,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 07:00:00,5657,3633,0.00%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 07:03:00,7196,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 07:06:00,6587,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 07:09:00,5374,3577,0.00%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 07:12:00,6490,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 07:15:00,6531,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 07:18:00,5730,3577,0.00%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 07:21:00,6647,3633,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 07:24:00,5505,3577,0.00%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 07:27:00,5961,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 07:30:00,7155,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 07:33:00,5562,3577,0.00%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 07:36:00,6189,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 07:39:00,5961,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 07:42:00,6608,3633,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 07:45:00,6320,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 07:48:00,5619,3577,0.00%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 07:51:00,6017,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 07:54:00,6132,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 07:57:00,6299,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 08:00:00,6587,3633,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 08:03:00,5771,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 08:06:00,5679,3577,0.00%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 08:09:00,6262,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 08:12:00,6701,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 08:15:00,5294,3577,0.00%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 08:18:00,6456,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 08:21:00,6739,3633,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 08:24:00,5522,3577,0.00%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 08:27:00,6533,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 08:30:00,5316,3577,0.00%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 08:33:00,6587,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 08:36:00,6340,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 08:39:00,6132,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 08:42:00,6546,3633,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 08:45:00,5391,3577,0.00%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 08:48:00,6531,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 08:51:00,5922,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 08:54:00,6075,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 08:57:00,6185,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 09:00:00,5903,3633,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 09:03:00,6765,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 09:06:00,5750,3577,0.00%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 09:09:00,6133,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 09:12:00,5732,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 09:15:00,6189,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 09:18:00,6376,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 09:21:00,6396,3633,0.10%,0.00%,0.00%,0.00%,0.00,0.00
